state,district,anaemia_pregnant_pct,antenatal_first_trimester_pct,institutional_births_pct,postnatal_care_pct,underweight_pct,hri_normalised,hri_score,hri_category,intrastate_rank
Maharashtra,Dhule,70.6,61.2,77.2,77.2,46.0,0.837230442,4,High,31
Maharashtra,Gadchiroli,39.3,84.6,97.3,91.5,35.4,0.815055075,4,High,35
Maharashtra,Gondiya,43.6,69.0,99.1,90.0,35.6,0.884873369,5,Very high,12
Maharashtra,Hingoli,53.3,82.5,94.0,82.4,38.9,0.866192172,5,Very high,23
Maharashtra,Jalgaon,63.8,60.3,86.5,74.5,36.9,0.866946295,5,Very high,22
Maharashtra,Jalna,47.3,56.0,92.8,74.0,39.0,0.877084655,5,Very high,16
Maharashtra,Kolhapur,48.9,71.5,99.2,95.2,34.7,0.898247206,5,Very high,7
Maharashtra,Latur,51.0,74.6,94.7,93.3,33.9,0.874833447,5,Very high,18
Maharashtra,Mumbai,19.9,86.2,99.5,90.6,29.6,0.962022278,5,Very high,2
Maharashtra,Mumbai Suburban,,58.1,98.1,91.5,24.6,0.96447229,5,Very high,1
Maharashtra,Nagpur,,78.1,100.0,91.4,33.9,0.930094061,5,Very high,5
Maharashtra,Nanded,52.9,62.5,94.8,76.1,35.2,0.892454738,5,Very high,8
Maharashtra,Nandurbar,68.2,51.0,76.3,74.4,57.2,0.825465449,4,High,34
Maharashtra,Nashik,73.4,66.9,90.5,76.5,44.8,0.838694953,4,High,30
Maharashtra,Osmanabad,44.4,83.9,98.1,94.4,32.5,0.841074945,4,High,29
Maharashtra,Palghar,48.5,84.7,94.2,97.0,37.1,0.915553253,5,Very high,6
Maharashtra,Parbhani,48.0,58.6,85.6,64.4,41.8,0.879343208,5,Very high,14
Maharashtra,Pune,,79.6,98.0,84.2,32.7,0.871204987,5,Very high,19
Maharashtra,Raigarh,65.7,83.8,96.6,93.0,34.1,0.77871212,4,High,36
Maharashtra,Ratnagiri,,64.6,97.8,89.7,29.5,0.948842817,5,Very high,4
Maharashtra,Sangli,42.3,66.0,98.0,95.6,27.2,0.842189083,4,High,28
Maharashtra,Satara,28.8,77.5,97.1,94.5,28.0,0.828186362,4,High,33
Maharashtra,Sindhudurg,,70.3,100.0,96.7,32.0,0.958652133,5,Very high,3
Maharashtra,Solapur,34.1,81.3,96.2,89.6,32.9,0.880508921,5,Very high,13
Maharashtra,Thane,,58.9,93.6,87.2,30.8,0.859204124,5,Very high,24
