state,district,hri_normalised,hri_score,hri_category,intrastate_rank
Maharashtra,Nagpur,0.930094061,5.0,Very high,5
Maharashtra,Palghar,0.915553253,5.0,Very high,6
Maharashtra,Kolhapur,0.898247206,5.0,Very high,7
Maharashtra,Nanded,0.892454738,5.0,Very high,8
Maharashtra,Bhandara,0.889709099,5.0,Very high,9
Maharashtra,Buldana,0.886622171,5.0,Very high,10
Maharashtra,Chandrapur,0.885532439,5.0,Very high,11
Maharashtra,Gondiya,0.884873369,5.0,Very high,12
Maharashtra,Solapur,0.880508921,5.0,Very high,13
Maharashtra,Parbhani,0.879343208,5.0,Very high,14
Maharashtra,Akola,0.878639083,5.0,Very high,15
Maharashtra,Jalna,0.877084655,5.0,Very high,16
Maharashtra,Ahmadnagar,0.875496872,5.0,Very high,17
Maharashtra,Latur,0.874833447,5.0,Very high,18
Maharashtra,Pune,0.871204987,5.0,Very high,19
Maharashtra,Bid,0.86999373,5.0,Very high,20
Maharashtra,Amravati,0.86764328,5.0,Very high,21
Maharashtra,Jalgaon,0.866946295,5.0,Very high,22
Maharashtra,Hingoli,0.866192172,5.0,Very high,23
Maharashtra,Thane,0.859204124,5.0,Very high,24
Maharashtra,Wardha,0.852115288,5.0,Very high,25
Maharashtra,Yavatmal,0.850700964,5.0,Very high,26
Maharashtra,Washim,0.848632259,5.0,Very high,27
Maharashtra,Sangli,0.842189083,4.0,High,28
Maharashtra,Osmanabad,0.841074945,4.0,High,29
Maharashtra,Nashik,0.838694953,4.0,High,30
Maharashtra,Dhule,0.837230442,4.0,High,31
Maharashtra,Aurangabad,0.835296858,4.0,High,32
Maharashtra,Satara,0.828186362,4.0,High,33
Maharashtra,Nandurbar,0.825465449,4.0,High,34
Maharashtra,Gadchiroli,0.815055075,4.0,High,35
Maharashtra,Raigarh,0.77871212,4.0,High,36
Manipur,Pherzawl,0.68891,3.0,moderate,1
Manipur,Chandel,0.686912,3.0,moderate,2
Manipur,Churachandpur,0.683736,3.0,moderate,3
Manipur,Jiribam,0.664706,2.0,low,4
Manipur,Thoubal,0.662669,2.0,low,5
Manipur,Bishnupur,0.660528,2.0,low,6
Manipur,Kakching,0.658884,2.0,low,7
